	Date	Workout Name	Exercise Name	Set Order	Weight	Weight Unit	Reps	RPE	Distance	Distance Unit	Seconds	Notes	Workout Notes	Workout Duration
72	2021-10-16 15:40:40	Afternoon Workout	Crunch (Machine)	1	150	lbs	100				0			1h 11m
73	2021-10-16 15:40:40	Afternoon Workout	Crunch (Machine)	2	150	lbs	100				0			1h 11m
74	2021-10-16 15:40:40	Afternoon Workout	Lat Pulldown - Underhand (Band)	1	55	lbs	30				0			1h 11m
75	2021-10-16 15:40:40	Afternoon Workout	Lat Pulldown - Underhand (Band)	2	85	lbs	20				0			1h 11m
76	2021-10-16 15:40:40	Afternoon Workout	Lat Pulldown - Underhand (Band)	3	115	lbs	11				0			1h 11m
77	2021-10-16 15:40:40	Afternoon Workout	Lat Pulldown - Underhand (Band)	4	115	lbs	12				0			1h 11m
78	2021-10-16 15:40:40	Afternoon Workout	Front cable pulldown (bar)	1	115	lbs	10				0			1h 11m
79	2021-10-16 15:40:40	Afternoon Workout	Front cable pulldown (bar)	2	115	lbs	17				0			1h 11m
80	2021-10-16 15:40:40	Afternoon Workout	Front cable pulldown (bar)	3	115	lbs	17				0			1h 11m
81	2021-10-16 15:40:40	Afternoon Workout	Front cable pulldown (bar)	4	115	lbs	13				0			1h 11m
82	2021-10-18 18:48:53	Evening Workout	Lying Leg Curl (Machine)	1	120	lbs	15				0			52m
83	2021-10-18 18:48:53	Evening Workout	Lying Leg Curl (Machine)	2	130	lbs	15				0			52m
84	2021-10-18 18:48:53	Evening Workout	Lying Leg Curl (Machine)	3	140	lbs	10				0			52m
85	2021-10-18 18:48:53	Evening Workout	Lying Leg Curl (Machine)	4	150	lbs	10				0			52m
86	2021-10-18 18:48:53	Evening Workout	Shrug (Dumbbell)	1	75	lbs	25				0			52m
87	2021-10-18 18:48:53	Evening Workout	Shrug (Dumbbell)	2	75	lbs	25				0			52m
88	2021-10-18 18:48:53	Evening Workout	Shrug (Dumbbell)	3	75	lbs	30				0			52m
89	2021-10-18 18:48:53	Evening Workout	Shrug (Dumbbell)	4	75	lbs	30				0			52m
90	2021-10-18 18:48:53	Evening Workout	Hip Abductor (Machine)	1	240	lbs	17				0			52m
91	2021-10-18 18:48:53	Evening Workout	Hip Abductor (Machine)	2	240	lbs	17				0			52m
92	2021-10-18 18:48:53	Evening Workout	Hip Abductor (Machine)	3	250	lbs	17				0			52m
93	2021-10-18 18:48:53	Evening Workout	Hip Abductor (Machine)	4	250	lbs	15				0			52m
94	2021-10-18 18:48:53	Evening Workout	Leg Extension (Machine)	1	190	lbs	15				0			52m
95	2021-10-18 18:48:53	Evening Workout	Leg Extension (Machine)	2	190	lbs	15				0			52m
96	2021-10-18 18:48:53	Evening Workout	Leg Extension (Machine)	3	205	lbs	14				0			52m
97	2021-10-18 18:48:53	Evening Workout	Leg Extension (Machine)	4	205	lbs	9				0			52m
98	2021-10-18 18:48:53	Evening Workout	Hack Squat	1	90	lbs	12				0			52m
99	2021-10-18 18:48:53	Evening Workout	Hack Squat	2	180	lbs	9				0			52m
100	2021-10-18 18:48:53	Evening Workout	Hack Squat	3	180	lbs	9				0			52m
101	2021-10-18 18:48:53	Evening Workout	Hack Squat	4	180	lbs	10				0			52m
102	2021-10-18 18:48:53	Evening Workout	Hip Adductor (Machine)	1	220	lbs	15				0			52m
103	2021-10-18 18:48:53	Evening Workout	Hip Adductor (Machine)	2	220	lbs	15				0			52m
104	2021-10-18 18:48:53	Evening Workout	Hip Adductor (Machine)	3	220	lbs	10				0			52m
105	2021-10-18 18:48:53	Evening Workout	Hip Adductor (Machine)	4	220	lbs	10				0			52m
106	2021-10-18 18:48:53	Evening Workout	Back Extension	1	80	lbs	20				0			52m
107	2021-10-18 18:48:53	Evening Workout	Back Extension	2	80	lbs	20				0			52m
108	2021-10-18 18:48:53	Evening Workout	Back Extension	3	80	lbs	20				0			52m
109	2021-10-18 18:48:53	Evening Workout	Back Extension	4	80	lbs	20				0			52m
110	2021-10-18 18:48:53	Evening Workout	Crunch (Machine)	1	150	lbs	100				0			52m
111	2021-10-18 18:48:53	Evening Workout	Crunch (Machine)	2	150	lbs	100				0			52m
112	2021-10-19 18:26:45	Evening Workout	Decline Bench Press (Barbell)	1	135	lbs	12				0			1h 15m
113	2021-10-19 18:26:45	Evening Workout	Decline Bench Press (Barbell)	2	135	lbs	10				0			1h 15m
114	2021-10-19 18:26:45	Evening Workout	Decline Bench Press (Barbell)	3	135	lbs	12				0			1h 15m
115	2021-10-19 18:26:45	Evening Workout	Decline Bench Press (Barbell)	4	135	lbs	14				0			1h 15m
116	2021-10-19 18:26:45	Evening Workout	Triceps Pushdown (Cable - Straight Bar)	1	100	lbs	16				0			1h 15m
117	2021-10-19 18:26:45	Evening Workout	Triceps Pushdown (Cable - Straight Bar)	2	100	lbs	14				0			1h 15m
118	2021-10-19 18:26:45	Evening Workout	Triceps Pushdown (Cable - Straight Bar)	3	100	lbs	14				0			1h 15m
119	2021-10-19 18:26:45	Evening Workout	Triceps Pushdown (Cable - Straight Bar)	4	100	lbs	16				0			1h 15m
120	2021-10-19 18:26:45	Evening Workout	Chest Press (Machine)	1	240	lbs	11				0			1h 15m
121	2021-10-19 18:26:45	Evening Workout	Chest Press (Machine)	2	280	lbs	8				0			1h 15m
122	2021-10-19 18:26:45	Evening Workout	Chest Press (Machine)	3	280	lbs	8				0			1h 15m
123	2021-10-19 18:26:45	Evening Workout	Chest Press (Machine)	4	280	lbs	8				0			1h 15m
124	2021-10-19 18:26:45	Evening Workout	Triceps Extension (Dumbbell)	1	30	lbs	13				0			1h 15m
125	2021-10-19 18:26:45	Evening Workout	Triceps Extension (Dumbbell)	2	30	lbs	13				0			1h 15m
126	2021-10-19 18:26:45	Evening Workout	Triceps Extension (Dumbbell)	3	30	lbs	13				0			1h 15m
127	2021-10-19 18:26:45	Evening Workout	Triceps Extension (Dumbbell)	4	30	lbs	13				0			1h 15m
128	2021-10-19 18:26:45	Evening Workout	Incline Bench Press (Barbell)	1	135	lbs	12				0			1h 15m
129	2021-10-19 18:26:45	Evening Workout	Incline Bench Press (Barbell)	2	135	lbs	12				0			1h 15m
130	2021-10-19 18:26:45	Evening Workout	Incline Bench Press (Barbell)	3	135	lbs	10				0			1h 15m
131	2021-10-19 18:26:45	Evening Workout	Incline Bench Press (Barbell)	4	135	lbs	8				0			1h 15m
132	2021-10-19 18:26:45	Evening Workout	Cable Crossover	1	45	lbs	12				0			1h 15m
133	2021-10-19 18:26:45	Evening Workout	Cable Crossover	2	45	lbs	12				0			1h 15m
134	2021-10-19 18:26:45	Evening Workout	Cable Crossover	3	45	lbs	15				0			1h 15m
135	2021-10-19 18:26:45	Evening Workout	Cable Crossover	4	45	lbs	15				0			1h 15m
136	2021-10-19 18:26:45	Evening Workout	Lateral cable pull	1	30	lbs	15				0			1h 15m
137	2021-10-19 18:26:45	Evening Workout	Lateral cable pull	2	30	lbs	15				0			1h 15m
138	2021-10-19 18:26:45	Evening Workout	Lateral cable pull	3	30	lbs	15				0			1h 15m
139	2021-10-19 18:26:45	Evening Workout	Lateral cable pull	4	30	lbs	15				0			1h 15m
140	2021-10-19 18:26:45	Evening Workout	Crunch (Machine)	1	150	lbs	100				0			1h 15m
141	2021-10-19 18:26:45	Evening Workout	Crunch (Machine)	2	150	lbs	100				0			1h 15m
142	2021-10-19 18:26:45	Evening Workout	Shrug (Dumbbell)	1	70	lbs	25				0			1h 15m
143	2021-10-19 18:26:45	Evening Workout	Shrug (Dumbbell)	2	80	lbs	25				0			1h 15m
144	2021-10-19 18:26:45	Evening Workout	Shrug (Dumbbell)	3	80	lbs	25				0			1h 15m
145	2021-10-19 18:26:45	Evening Workout	Shrug (Dumbbell)	4	80	lbs	25				0			1h 15m
146	2021-10-20 19:11:41	Evening Workout	Bicep Curl (Dumbbell)	1	35	lbs	40				0			54m
147	2021-10-20 19:11:41	Evening Workout	Bicep Curl (Dumbbell)	2	40	lbs	30				0			54m
148	2021-10-20 19:11:41	Evening Workout	Bicep Curl (Dumbbell)	3	40	lbs	30				0			54m
149	2021-10-20 19:11:41	Evening Workout	Bicep Curl (Dumbbell)	4	40	lbs	30				0			54m
150	2021-10-20 19:11:41	Evening Workout	Lateral Raise (Dumbbell)	1	20	lbs	15				0			54m
151	2021-10-20 19:11:41	Evening Workout	Lateral Raise (Dumbbell)	2	20	lbs	17				0			54m
